Origin;Callee;Message;case-id;timestamp
atm-terminal;terminal-proxy;authenticationRequest;id-1617267497122;1617267497122
terminal-proxy;bank-service;authenticationRequest;id-1617267497122;1617267497860
bank-service;auth-server;autenticationRequest;id-1617267497122;1617267498046
atm-terminal;terminal-proxy;checkBalance;id-1617267500490;1617267500490
terminal-proxy;bank-service;checkBalance;id-1617267500490;1617267500495
bank-service;balance-service;checkBalance;id-1617267500490;1617267500498
atm-terminal;terminal-proxy;depositRequest;id-1617267507429;1617267507429
terminal-proxy;bank-service;depositRequest;id-1617267507429;1617267507434
bank-service;balance-service;depositRequest;id-1617267507429;1617267507437
atm-terminal;terminal-proxy;printReceipt;id-1617267509076;1617267509076
terminal-proxy;bank-service;printReceipt;id-1617267509076;1617267509081
atm-terminal;terminal-proxy;withdrawalRequest;id-1617267512676;1617267512676
terminal-proxy;bank-service;withdrawalRequest;id-1617267512676;1617267512683
bank-service;balance-service;withdrawalRequest;id-1617267512676;1617267512687
atm-terminal;terminal-proxy;authenticationRequest;id-1617267514147;1617267514147
terminal-proxy;bank-service;authenticationRequest;id-1617267514147;1617267514152
bank-service;auth-server;autenticationRequest;id-1617267514147;1617267514155
atm-terminal;terminal-proxy;depositRequest;id-1617267515523;1617267515523
terminal-proxy;bank-service;depositRequest;id-1617267515523;1617267515527
bank-service;balance-service;depositRequest;id-1617267515523;1617267515529
atm-terminal;terminal-proxy;printReceipt;id-1617267516268;1617267516268
terminal-proxy;bank-service;printReceipt;id-1617267516268;1617267516272
atm-terminal;terminal-proxy;authenticationRequest;id-1617267517647;1617267517647
terminal-proxy;bank-service;authenticationRequest;id-1617267517647;1617267517651
bank-service;auth-server;autenticationRequest;id-1617267517647;1617267517654
atm-terminal;terminal-proxy;checkBalance;id-1617267518159;1617267518159
terminal-proxy;bank-service;checkBalance;id-1617267518159;1617267518163
bank-service;balance-service;checkBalance;id-1617267518159;1617267518165
atm-terminal;terminal-proxy;authenticationRequest;id-1617267519994;1617267519994
terminal-proxy;bank-service;authenticationRequest;id-1617267519994;1617267519999
bank-service;auth-server;autenticationRequest;id-1617267519994;1617267520001
atm-terminal;terminal-proxy;depositRequest;id-1617267521303;1617267521303
terminal-proxy;bank-service;depositRequest;id-1617267521303;1617267521307
bank-service;balance-service;depositRequest;id-1617267521303;1617267521309
atm-terminal;terminal-proxy;printReceipt;id-1617267522024;1617267522024
terminal-proxy;bank-service;printReceipt;id-1617267522024;1617267522032
atm-terminal;terminal-proxy;authenticationRequest;id-1617267527547;1617267527547
terminal-proxy;bank-service;authenticationRequest;id-1617267527547;1617267527551
bank-service;auth-server;autenticationRequest;id-1617267527547;1617267527554
atm-terminal;terminal-proxy;withdrawalRequest;id-1617267529976;1617267529976
terminal-proxy;bank-service;withdrawalRequest;id-1617267529976;1617267529982
bank-service;balance-service;withdrawalRequest;id-1617267529976;1617267529984
